id,genre_id
tm191431,4
tm10811,1
tm10811,9
tm49839,7
tm49839,1
ts20918,7
ts21693,7
ts21693,1
ts21693,13
ts20939,1
ts20939,7
ts20939,13
ts21684,1
ts21684,9
ts21684,7
ts22080,16
ts22080,7
ts22080,13
ts22080,3
ts22080,5
tm67635,9
tm67635,7
tm67635,1
tm320211,0
tm7073,3
tm7073,15
ts28516,1
ts28516,2
tm117873,1
tm117873,9
tm117873,7
tm55100,1
tm55100,9
tm64817,7
tm64817,0
ts22039,7
tm188606,1
tm188606,5
tm41525,7
tm41525,2
tm41525,4
tm189171,1
tm189171,12
tm189171,9
tm63514,1
tm63514,11
tm63514,8
tm63514,0
tm21911,7
tm21911,12
tm21911,0
tm188970,7
tm188970,0
tm12876,1
tm12876,9
ts224786,1
tm62176,1
tm62176,9
tm52871,4
tm52871,3
tm52871,1
tm52871,9
tm8687,7
tm104933,7
tm104933,0
tm184326,1
tm184326,2
tm62385,9
tm62385,13
tm62385,6
tm62385,1
tm191614,1
tm191614,11
tm191614,7
tm191614,9
tm110766,1
tm9898,7
tm9898,1
tm9898,3
tm9898,9
tm47530,7
tm47530,1
tm47530,9
tm57169,7
tm57169,0
tm192301,7
tm192301,9
tm192301,1
tm58893,7
tm58893,3
tm58893,2
tm58893,4
tm110160,1
tm110160,7
tm118438,9
tm118438,2
tm118438,4
tm118438,1
tm424630,1
tm424630,18
tm27601,7
tm27601,9
tm27601,1
tm203186,0
tm203186,11
tm128073,7
tm7951,7
tm7951,0
tm7135,7
tm52083,9
tm52083,1
tm52083,7
tm52083,8
tm52083,5
tm340430,1
tm340430,3
tm340430,2
tm7032,1
tm7032,8
tm7032,2
tm7032,5
tm256669,1
tm256669,3
tm256669,2
tm256669,4
tm64729,7
tm64729,0
tm184224,7
tm184224,0
tm25389,9
tm25389,3
tm25389,2
tm25389,1
tm25389,4
tm34391,7
tm34391,0
tm44776,9
tm44776,5
tm44776,1
tm334788,3
tm334788,1
tm117840,1
tm42397,7
tm42397,9
tm42397,6
tm42397,3
tm314602,9
tm314602,3
tm314602,1
tm7810,1
tm7810,4
tm7810,2
tm210754,1
tm449775,1
tm449775,3
ts4,1
ts4,2
ts4,4
ts20371,7
ts20371,17
ts20371,5
ts20371,12
ts9,3
ts9,1
ts9,15
ts9,14
ts9,4
ts21465,15
ts21465,14
ts21465,4
ts21465,1
ts21465,6
tm74402,14
tm74402,15
tm74402,4
tm91952,7
ts288536,17
ts288536,5
ts12724,7
ts12724,18
ts6644,1
ts6644,5
ts8308,7
tm111828,1
tm111828,2
ts21469,1
ts21469,9
ts17156,7
ts22011,1
ts22011,13
ts26091,2
ts26091,0
ts26091,1
tm150112,7
tm150112,5
ts22337,2
ts22337,3
ts22337,4
ts22337,1
ts22337,7
ts3371,15
ts3371,16
ts3371,3
ts3371,13
ts3371,6
tm80906,7
ts20604,1
ts20604,18
ts20573,7
ts20573,5
tm92641,3
tm92641,15
tm92641,12
tm92641,4
ts22099,3
ts22099,16
ts22099,13
ts22099,15
ts22099,7
tm27911,1
tm27911,4
tm27911,2
tm27911,3
ts21464,1
ts21464,7
ts21464,13
ts21464,9
tm88465,14
tm88465,4
tm172683,3
tm172683,4
tm172683,15
ts11313,16
ts11313,4
ts11313,15
ts11313,1
ts11313,6
ts11313,2
ts21247,1
ts21247,15
ts21247,14
ts21247,9
ts21247,4
ts21247,6
ts20305,16
ts20305,3
ts20305,15
ts20305,7
ts20305,6
ts20305,4
tm42877,3
tm42877,4
tm42877,2
tm42877,6
tm39030,3
tm39030,4
tm39030,5
ts21511,7
ts21511,15
ts21511,16
ts21511,6
ts21511,13
ts21511,1
ts21511,12
tm997728,3
tm997728,4
tm997728,15
ts17942,7
ts17942,12
tm89677,1
tm89677,7
tm89677,9
tm78592,4
tm78592,1
tm78592,2
tm105329,4
tm105329,0
tm105329,1
tm105329,2
ts30311,7
ts30311,13
ts30311,1
ts30311,12
ts30311,9
ts30311,18
tm139658,3
tm139658,6
tm139658,1
tm139658,9
tm26327,4
tm26327,1
tm26327,8
tm95477,3
tm95477,11
tm95477,8
tm95477,1
tm95477,5
tm154187,2
tm154187,4
tm154187,3
ts22267,7
ts22267,2
tm133767,1
tm133767,7
tm133767,9
ts2230,17
tm45454,7
tm45454,4
tm45454,3
tm26897,4
tm26897,3
tm133374,1
tm133374,18
tm195620,1
tm195620,8
tm195620,14
tm195620,4
tm136808,4
tm70807,15
tm70807,4
tm70807,3
tm70807,1
ts19036,7
ts19036,15
ts19036,16
ts19036,13
ts19036,6
tm93055,7
tm93055,1
tm93055,5
tm85811,7
tm85811,9
tm85811,1
ts22456,13
ts22456,7
tm101914,1
tm131038,3
tm131038,2
tm131038,1
tm131038,11
tm131038,5
tm58382,7
tm35463,2
tm35463,1
tm30603,6
tm30603,3
tm30603,2
tm30603,1
ts22018,7
ts22018,13
ts22018,9
tm20959,1
tm20959,5
tm136308,2
tm136308,1
tm136308,4
tm136308,5
tm29737,3
tm29737,4
tm29737,8
tm29737,5
tm148270,1
tm148270,7
tm148270,9
tm89036,7
tm46436,14
tm46436,4
tm46436,6
ts21197,3
ts21197,1
ts21197,15
ts21197,6
ts21197,5
ts21544,3
ts21544,16
ts21544,7
ts21544,1
ts21544,13
ts21544,15
tm150260,16
tm150260,7
tm150260,13
tm150260,6
tm150260,15
tm150260,9
tm150260,1
ts31263,17
ts30313,1
ts30313,7
tm79895,14
ts12787,15
ts12787,3
ts12787,16
ts12787,1
ts12787,8
ts12787,4
tm116324,7
tm116324,0
tm116324,3
tm39828,7
tm39828,18
tm39828,5
tm23935,1
tm23935,4
tm23935,6
tm23935,9
tm23935,0
tm78067,2
tm78067,1
tm78067,14
tm78067,4
tm95252,15
tm95252,3
tm95252,4
tm95252,1
tm95252,5
tm32919,1
tm32919,4
tm32919,3
tm169949,9
tm169949,1
tm169949,7
tm169949,6
tm30205,1
tm30205,6
tm30205,7
tm30205,11
tm30205,3
tm40009,2
tm40009,1
tm40009,11
tm40009,4
tm141390,14
tm141390,4
ts35155,3
ts35155,15
ts35155,16
ts35155,7
ts35155,1
tm94606,1
tm94606,14
tm94606,4
tm94606,6
tm94606,5
ts15986,15
ts15986,17
ts15986,4
ts15986,7
ts15986,1
ts15986,14
ts15986,5
tm102337,14
tm102337,4
tm102337,2
tm102337,1
ts22318,16
ts22318,3
ts22318,7
ts22318,13
ts22318,6
ts22318,4
ts22318,5
tm159901,3
tm159901,7
tm159901,2
tm74780,1
tm74780,7
tm74780,5
ts30356,3
ts30356,16
ts30356,7
ts30356,13
ts32186,13
ts32186,16
ts32186,3
ts32186,7
ts32186,1
ts32186,4
ts32186,6
ts32186,15
tm24088,7
tm24088,14
tm111600,7
tm111600,9
tm88045,7
tm88045,1
tm88045,9
tm78919,13
tm78919,7
tm78919,5
tm173066,4
tm173066,2
tm173066,5
tm118637,1
tm118637,4
tm118637,2
tm142564,1
tm142564,7
tm57190,4
tm57190,3
tm57190,15
ts21706,15
ts21706,1
ts21706,13
ts21706,6
tm137362,14
tm137362,2
ts24028,7
ts24028,5
tm148379,13
tm148379,6
tm148379,7
tm148379,3
tm137342,8
tm137342,3
tm137342,1
tm137342,4
tm90864,7
tm90864,1
ts21740,15
ts21740,16
ts21740,1
ts21740,4
ts21740,7
ts21740,6
ts21740,3
ts21740,14
ts21740,2
tm32144,1
tm32144,18
tm141707,4
tm141707,18
tm141707,3
tm141707,2
tm141707,1
tm150214,14
tm150214,3
tm81030,3
tm81030,6
tm81030,13
ts687,1
ts687,15
ts687,4
tm147211,7
tm147211,8
ts31514,16
ts31514,13
ts33559,16
ts33559,7
ts33559,13
ts33559,5
tm78671,4
tm78671,2
ts26322,16
ts26322,7
ts26322,1
ts26322,9
ts12815,13
ts12815,7
tm27268,16
tm27268,7
tm27268,13
tm27268,6
tm86189,7
tm86189,9
tm700,3
tm700,1
tm700,6
tm700,11
tm700,4
tm101249,2
tm101249,3
tm101249,7
tm101249,4
tm161263,14
tm161263,4
tm161263,3
tm161263,15
tm161263,5
tm81270,7
tm81270,2
tm89684,7
tm89684,2
tm89684,13
tm89684,9
tm165593,9
tm165593,7
tm165593,1
tm112381,7
tm112381,0
tm39487,1
tm39487,9
tm39487,7
ts23752,1
ts23752,7
tm43399,9
tm43399,1
tm43399,3
tm43399,18
ts21421,16
ts21421,13
ts21421,7
ts21421,5
ts22005,8
ts22005,17
ts22005,16
ts22005,3
ts22005,7
ts22005,1
ts22005,13
ts20398,7
tm186461,0
tm186461,12
tm29555,7
tm29555,1
tm29555,9
tm103095,1
tm103095,3
tm103095,11
tm103095,18
tm97070,7
tm97070,9
tm97070,1
tm101334,7
tm101334,1
tm183963,13
tm183963,1
tm183963,18
tm183963,6
tm76428,0
tm76428,7
tm77649,4
tm77649,1
tm77649,6
tm86924,9
tm86924,7
ts98340,10
tm26638,4
tm26638,14
tm26638,0
tm78189,4
tm78189,5
ts20544,7
ts20544,1
ts20544,16
ts20544,9
ts23835,13
ts23835,3
ts23835,16
ts23835,7
tm104880,7
ts30288,15
ts30288,16
ts30288,3
ts30288,1
ts30288,8
ts38159,3
ts38159,15
ts38159,13
ts38159,6
ts38159,16
ts38159,5
tm22294,13
tm22294,7
tm100015,3
tm100015,2
tm100015,1
tm100015,4
ts25765,16
ts25765,1
ts25765,3
ts25765,15
ts25765,4
ts25765,6
ts25765,14
ts25765,9
ts21688,7
ts21688,1
ts21688,9
tm83786,1
tm83786,13
tm130574,7
tm130574,1
tm130574,9
tm114476,16
tm114476,7
tm114476,13
tm114476,3
tm114476,6
ts20535,16
ts20535,7
ts20535,13
ts20535,5
ts1893,16
ts1893,7
ts1893,13
ts1893,6
ts1893,5
tm118462,4
tm118462,3
tm118462,2
tm118462,5
ts12701,3
ts12701,16
ts12701,7
ts12701,4
ts12701,15
ts12701,13
ts12701,9
ts12701,6
ts121176,7
ts121176,13
ts121176,6
ts121176,14
ts121176,12
ts121176,16
ts121176,15
tm86995,7
tm86995,13
ts20526,1
ts20526,7
ts20526,9
ts20526,18
ts23808,7
ts23808,0
tm97544,16
tm97544,13
tm97544,7
tm97544,3
tm97544,9
ts31593,15
ts31593,13
ts31593,16
ts31593,3
ts27459,3
ts27459,1
ts3666,15
ts3666,16
ts3666,7
ts3666,1
tm53999,7
tm164557,2
tm164557,4
tm164557,1
tm164557,3
tm164557,16
tm164557,9
tm164557,7
tm80059,16
tm80059,3
tm80059,6
tm80059,13
tm135451,1
tm71558,6
tm71558,16
tm71558,13
tm134235,6
tm134235,3
tm134235,16
tm160800,2
tm160800,1
tm160800,3
tm160800,4
tm160800,5
tm22342,4
tm22342,3
tm22342,1
tm22342,2
ts42914,7
ts42914,9
ts42914,3
ts42914,16
ts42914,13
ts42914,6
ts42914,5
tm22636,7
tm22636,2
ts21967,16
ts21967,7
ts21967,1
ts21967,13
ts21967,15
ts21967,3
tm85549,0
tm85549,2
tm85549,1
tm85549,9
tm85549,3
tm100688,1
tm100688,5
tm100688,11
tm22493,7
tm22493,0
ts14102,16
tm103732,1
tm73058,4
tm73058,1
tm73058,3
tm73058,7
tm73058,6
tm73058,9
tm138497,7
tm138497,2
ts20358,7
tm36475,1
tm36475,9
tm144345,1
tm144345,9
tm144345,7
tm76835,9
tm76835,7
tm76835,1
tm38896,14
tm38896,4
tm38896,0
tm38896,8
tm38896,5
tm86051,2
tm86051,11
tm86051,3
tm86051,1
ts74931,3
ts74931,16
ts74931,7
ts74931,13
tm29269,9
tm29269,11
tm29269,8
tm29269,3
tm29269,1
ts17028,3
ts17028,16
ts17028,15
ts17028,7
ts17028,13
ts17028,10
tm91046,1
tm75022,7
tm75022,0
tm41508,7
tm41508,3
tm41508,2
tm41508,1
ts67595,1
ts67595,7
tm49405,3
tm49405,16
tm49405,6
tm82765,1
tm82765,5
tm33981,7
tm33981,2
tm33981,3
tm33981,15
tm33981,1
tm33981,4
ts52849,16
ts52849,7
ts52849,13
ts52849,12
ts52849,6
ts52849,5
tm95238,6
tm95238,14
tm95238,13
tm95238,7
tm32885,1
tm32885,11
tm32885,7
tm32885,2
ts72322,1
ts72322,3
ts63295,1
ts23319,16
ts23319,7
ts23319,13
ts23319,6
ts23319,5
ts21695,3
ts21695,1
ts21695,7
ts21695,17
ts21695,9
